Datum/tijd,T1,T2,Delta-1,Flow-1,Power-1,T3,T4,Delta-2,Flow-2,Power-2,T5,T6,Delta-3,Flow-3,Power-3,T7,T8,Delta-4,Flow-H2,Power-H2
24-09 09:21,82,90,14,35,88,30,55,49,82,82,12,17,41,33,56,31,59,61,85,19
24-09 09:22,99,98,36,87,77,96,65,93,17,81,48,14,13,44,31,77,21,65,16,29
24-09 09:23,28,88,70,60,25,14,45,48,74,12,99,99,16,100,65,18,61,42,67,32
24-09 09:24,81,54,89,68,85,93,79,25,21,29,74,62,69,29,97,20,44,45,10,46
24-09 09:25,20,32,81,74,92,19,20,91,44,31,47,78,78,61,14,86,92,13,99,43
24-09 09:26,40,52,89,58,46,80,55,22,68,19,82,59,64,59,89,42,41,41,77,46
24-09 09:27,26,29,73,18,12,58,44,51,91,89,82,81,34,95,49,29,28,68,85,68
24-09 09:28,27,36,20,14,16,16,94,51,73,98,18,34,57,67,39,61,45,32,25,54
24-09 09:29,45,71,99,98,94,71,84,13,80,53,82,86,79,79,57,28,29,94,18,72
24-09 09:30,46,66,69,65,91,52,38,21,43,85,82,36,97,77,98,29,42,26,66,90
24-09 09:31,53,43,41,87,100,57,82,10,12,35,34,91,38,60,50,74,87,10,65,85
24-09 09:32,77,40,72,72,46,81,77,84,22,67,91,95,11,90,14,34,28,10,95,18
24-09 09:33,99,90,72,79,58,70,21,58,27,16,78,98,27,48,61,91,12,24,55,95
24-09 09:34,38,23,41,57,25,79,19,24,84,48,31,100,55,76,65,77,10,85,34,73
24-09 09:35,89,28,26,39,82,63,65,84,88,31,88,12,75,16,57,85,74,39,93,81
24-09 09:36,52,67,96,49,76,99,63,56,78,27,85,70,59,92,61,43,54,52,23,99
24-09 09:37,45,98,79,75,81,26,64,95,35,75,67,26,100,84,50,29,64,82,50,74
24-09 09:38,13,62,17,42,40,85,29,83,16,70,89,16,92,13,22,47,86,68,66,94
24-09 09:39,19,23,30,95,43,37,10,100,38,95,48,10,12,30,44,90,49,18,61,28
24-09 09:40,92,84,98,12,47,93,77,61,76,18,55,92,30,75,19,48,18,33,12,70
24-09 09:41,32,35,100,46,27,92,70,81,90,46,55,21,56,53,51,56,26,84,61,46
24-09 09:42,44,29,83,38,18,60,58,49,10,71,51,57,18,62,78,50,98,58,33,67
24-09 09:43,36,21,100,97,33,31,32,91,55,31,67,33,65,79,45,38,64,58,96,38
24-09 09:44,78,61,82,92,55,31,15,35,81,62,64,66,25,37,67,68,49,84,36,71
24-09 09:45,39,68,72,41,98,50,62,93,97,23,36,15,56,49,76,23,23,54,15,28
24-09 09:46,21,60,19,40,44,51,84,98,67,15,37,83,55,70,74,55,15,18,88,48
24-09 09:47,20,41,70,64,62,52,42,71,95,19,95,77,74,74,54,94,72,20,56,19
24-09 09:48,67,83,24,54,67,49,85,35,71,36,21,90,85,24,59,84,60,100,13,17
24-09 09:49,18,46,28,21,52,98,85,79,30,100,45,70,39,53,25,72,19,66,32,52
24-09 09:50,46,25,73,96,34,87,31,28,14,56,84,40,53,79,90,79,38,42,75,24
24-09 09:51,24,85,72,60,17,34,71,52,44,54,27,81,56,41,73,54,22,22,70,21
24-09 09:52,62,40,43,47,24,54,14,87,93,87,60,42,58,42,16,23,89,82,13,14
24-09 09:53,89,24,41,85,37,51,22,51,82,51,21,70,95,29,46,94,68,18,59,54
24-09 09:54,64,65,95,88,19,66,43,69,53,99,35,95,59,13,47,44,100,97,52,76
24-09 09:55,69,100,59,27,75,29,96,37,13,78,83,48,64,33,62,99,82,57,87,21
24-09 09:56,83,12,70,36,22,14,26,13,100,11,62,64,28,97,57,19,66,52,34,30
24-09 09:57,16,20,93,14,24,90,95,40,38,71,82,12,97,97,66,85,17,47,63,97
24-09 09:58,79,53,40,44,27,67,40,18,71,85,47,91,44,44,80,17,23,91,20,46
24-09 09:59,96,56,34,44,20,41,45,83,16,53,93,97,76,82,89,97,84,63,53,21
24-09 10:00,82,37,85,67,49,72,37,60,35,72,60,23,74,60,78,47,23,21,62,20
24-09 10:01,64,73,13,58,67,67,52,82,54,53,57,83,31,95,50,60,95,10,98,19
24-09 10:02,48,31,72,78,22,46,88,78,11,46,43,87,62,97,100,17,86,69,93,33
24-09 10:03,76,19,81,87,86,59,39,96,37,75,37,89,34,64,73,78,11,46,68,49
24-09 10:04,36,90,99,74,79,75,11,30,45,12,62,99,99,11,91,52,31,15,28,97
24-09 10:05,77,45,21,62,74,82,62,60,76,98,60,65,41,11,93,46,73,94,53,77
24-09 10:06,55,28,67,80,50,86,38,31,88,76,68,39,70,93,17,70,15,31,91,69
24-09 10:07,67,53,23,80,93,39,20,75,40,69,31,66,91,56,19,62,91,90,40,66
24-09 10:08,57,20,17,70,31,83,94,17,74,18,30,12,24,57,73,60,29,44,70,96
24-09 10:09,81,95,87,11,95,86,16,25,45,81,91,94,10,41,45,80,59,54,94,44
