Datum/tijd,T1,T2,Delta-1,Flow-1,Power-1,T3,T4,Delta-2,Flow-2,Power-2,T5,T6,Delta-3,Flow-3,Power-3,T7,T8,Delta-4,Flow-H2,Power-H2
24-09 11:15,20,28,8,5,153,21,27,6,13,62,21,21,6,15,38,18,24,6,15,71
24-09 11:14,23,22,1,12,71,29,18,11,5,165,18,23,5,6,177,24,18,6,15,133
24-09 11:16,23,20,3,6,72,28,28,3,13,137,27,22,5,9,99,23,22,1,17,147
24-09 11:15,24,18,6,11,47,22,21,1,16,60,30,19,11,3,81,21,19,2,7,41
24-09 11:16,25,25,0,12,151,22,19,3,13,28,25,26,1,20,151,24,24,1,5,128
24-09 11:17,27,26,1,15,89,28,23,5,6,41,26,29,3,6,130,30,24,6,1,123
24-09 11:18,24,22,2,12,65,27,29,2,17,131,26,18,8,11,188,23,27,4,2,166
24-09 11:19,25,20,5,11,110,27,25,2,18,38,26,29,3,8,44,28,18,10,12,109
24-09 11:20,25,30,5,5,123,30,25,5,12,31,19,27,8,16,184,27,29,2,11,165
24-09 11:21,23,22,1,10,159,20,28,8,17,178,28,23,5,4,146,21,18,3,12,85
24-09 11:22,23,19,4,9,197,24,24,4,11,141,20,18,2,11,194,27,25,2,15,81
24-09 11:23,23,18,5,18,146,22,22,5,7,113,29,29,5,6,43,22,19,3,12,59
24-09 11:24,30,22,8,19,90,27,22,5,2,144,21,22,1,6,69,18,25,7,1,185
24-09 11:24,29,24,5,6,196,22,23,1,13,152,26,30,4,3,130,23,27,4,5,65
24-09 11:23,20,23,3,4,37,25,18,7,11,181,30,27,3,18,68,24,26,2,13,128
24-09 11:24,28,26,2,20,133,28,25,3,13,155,22,23,1,8,130,26,25,1,20,51
24-09 11:24,30,19,11,4,71,28,23,5,13,68,24,29,5,14,98,20,25,5,12,138
24-09 11:25,21,20,1,19,169,23,25,2,6,138,20,22,2,18,35,28,22,6,20,24
24-09 11:25,27,22,5,2,22,27,29,2,1,97,26,24,2,3,74,23,30,7,14,163
24-09 11:26,18,22,4,5,94,23,25,2,20,78,24,18,6,19,195,26,30,4,19,145
24-09 11:27,29,28,1,13,72,19,21,2,5,170,26,25,1,10,169,24,21,3,12,120
24-09 11:28,30,25,5,10,40,27,25,2,13,103,25,26,1,20,199,27,23,4,17,133
24-09 11:29,24,18,6,16,109,29,27,2,2,184,18,19,1,14,170,25,20,5,14,72
24-09 11:30,20,30,10,14,68,28,26,2,3,143,22,30,8,5,47,19,24,5,6,154
24-09 11:31,25,27,2,1,152,23,22,1,18,181,19,27,8,4,195,29,29,8,20,120
24-09 11:32,29,21,8,13,39,27,22,5,13,74,19,26,7,8,144,26,23,3,18,71
24-09 11:33,24,30,6,4,96,29,18,11,4,126,19,21,2,19,139,28,23,5,1,47
24-09 11:34,18,28,10,20,97,29,27,2,11,121,19,21,2,12,112,21,24,3,17,76
24-09 11:35,23,24,1,11,136,27,21,6,3,100,30,21,9,9,88,27,26,1,19,21
24-09 11:36,23,28,5,3,85,25,29,4,10,82,22,28,6,17,111,23,29,6,3,38
24-09 11:37,29,28,1,7,80,23,29,6,13,112,22,19,3,19,179,18,22,4,16,183
24-09 11:38,23,25,2,1,72,28,30,2,1,25,20,18,2,10,194,30,27,3,2,75
24-09 11:39,29,28,1,3,124,21,26,5,9,53,25,18,7,20,83,23,30,7,8,33
24-09 11:40,25,21,4,5,103,24,30,6,19,67,28,22,6,10,52,30,25,5,16,155
24-09 11:41,22,27,5,20,144,18,20,2,18,193,21,24,3,4,193,29,19,10,6,133
24-09 11:42,28,24,4,7,143,23,20,3,5,92,27,25,2,14,165,21,24,3,3,63
24-09 11:43,29,23,6,1,56,18,27,9,7,45,25,21,4,19,105,30,28,2,9,139
24-09 11:44,29,30,1,17,26,30,30,1,12,46,20,28,8,11,91,28,29,1,15,41
24-09 11:45,26,19,7,20,48,25,26,1,9,59,19,30,11,5,31,26,20,6,18,154
24-09 11:46,23,22,1,1,141,26,28,2,16,186,29,24,5,20,155,26,24,2,14,75
24-09 11:47,27,30,3,4,45,25,24,1,1,35,26,19,7,3,111,29,27,2,4,155
